# hour, min, alt, baseline, rate, SC
20 57 20.56 48.50 390.59 0.88
20 58 20.75 48.87 393.12 0.87
20 59 20.95 49.23 395.66 0.87
21 00 21.14 49.59 398.20 0.87
21 01 21.33 49.96 400.73 0.87
21 02 21.53 50.32 403.28 0.87
21 03 21.72 50.68 405.82 0.87
21 04 21.92 51.04 408.36 0.86
21 05 22.11 51.40 410.72 0.86
21 06 22.31 51.76 412.95 0.86
21 07 22.50 52.12 415.18 0.86
21 08 22.70 52.47 417.41 0.86
21 09 22.89 52.83 419.64 0.85
21 10 23.09 53.19 421.87 0.85
21 11 23.28 53.54 424.11 0.85
21 12 23.48 53.90 426.34 0.85
21 13 23.67 54.26 428.58 0.85
21 14 23.87 54.61 430.82 0.85
21 15 24.06 54.96 433.00 0.84
21 16 24.26 55.32 435.08 0.84
21 17 24.45 55.67 437.16 0.84
21 18 24.65 56.02 439.24 0.84
21 19 24.85 56.37 441.33 0.84
21 20 25.04 56.72 443.37 0.83
21 21 25.24 57.07 445.30 0.83
21 22 25.43 57.42 447.22 0.83
21 23 25.63 57.77 449.15 0.83
21 24 25.83 58.12 451.07 0.83
21 25 26.02 58.46 452.98 0.82
21 26 26.22 58.81 454.75 0.82
21 27 26.42 59.15 456.52 0.82
21 28 26.61 59.50 458.29 0.82
21 29 26.81 59.84 460.06 0.82
21 30 27.01 60.19 461.83 0.81
21 31 27.20 60.53 463.60 0.81
21 32 27.40 60.87 465.37 0.81
21 33 27.60 61.21 467.14 0.81
21 34 27.80 61.55 468.92 0.81
21 35 27.99 61.89 470.69 0.80
21 36 28.19 62.23 472.31 0.80
21 37 28.39 62.57 473.92 0.80
21 38 28.59 62.91 475.54 0.80
21 39 28.78 63.24 477.15 0.80
21 40 28.98 63.58 478.77 0.80
21 41 29.18 63.91 480.38 0.79
21 42 29.38 64.25 482.00 0.79
21 43 29.57 64.58 483.62 0.79
21 44 29.77 64.91 485.23 0.79
21 45 29.97 65.25 486.85 0.79
21 46 30.17 65.58 488.33 0.78
21 47 30.37 65.91 489.79 0.78
21 48 30.57 66.24 491.25 0.78
21 49 30.76 66.57 492.71 0.78
21 50 30.96 66.89 494.17 0.78
21 51 31.16 67.22 495.49 0.77
21 52 31.36 67.55 496.79 0.77
21 53 31.56 67.87 498.09 0.77
21 54 31.76 68.20 499.39 0.77
21 55 31.95 68.52 500.69 0.77
21 56 32.15 68.84 502.11 0.76
21 57 32.35 69.17 503.57 0.76
21 58 32.55 69.49 505.03 0.76
21 59 32.75 69.81 506.50 0.76
22 00 32.95 70.13 507.96 0.76
22 01 33.15 70.45 509.18 0.75
22 02 33.35 70.76 510.32 0.75
22 03 33.55 71.08 511.46 0.75
22 04 33.74 71.40 512.60 0.75
22 05 33.94 71.71 513.74 0.75
22 06 34.14 72.03 514.99 0.74
22 07 34.34 72.34 516.29 0.74
22 08 34.54 72.65 517.60 0.74
22 09 34.74 72.96 518.90 0.74
22 10 34.94 73.27 520.20 0.74
22 11 35.14 73.58 521.39 0.73
22 12 35.34 73.89 522.53 0.73
22 13 35.54 74.20 523.67 0.73
22 14 35.74 74.51 524.81 0.73
22 15 35.94 74.81 525.96 0.73
22 16 36.14 75.12 526.99 0.72
22 17 36.34 75.42 527.96 0.72
22 18 36.54 75.73 528.94 0.72
22 19 36.73 76.03 529.92 0.72
22 20 36.93 76.33 530.90 0.72
22 21 37.13 76.63 531.99 0.71
22 22 37.33 76.93 533.13 0.71
22 23 37.53 77.23 534.27 0.71
22 24 37.73 77.53 535.42 0.71
22 25 37.93 77.83 536.56 0.71
22 26 38.13 78.12 537.59 0.70
22 27 38.33 78.42 538.57 0.70
22 28 38.53 78.71 539.55 0.70
22 29 38.73 79.00 540.53 0.70
22 30 38.93 79.30 541.51 0.70
22 31 39.13 79.59 542.39 0.70
22 32 39.33 79.88 543.20 0.69
22 33 39.53 80.17 544.02 0.69
22 34 39.73 80.46 544.84 0.69
22 35 39.93 80.74 545.65 0.69
22 36 40.13 81.03 546.58 0.69
22 37 40.33 81.32 547.56 0.68
22 38 40.53 81.60 548.54 0.68
22 39 40.73 81.88 549.52 0.68
22 40 40.93 82.17 550.50 0.68
22 41 41.13 82.45 551.37 0.68
22 42 41.33 82.73 552.19 0.67
22 43 41.53 83.01 553.00 0.67
22 44 41.73 83.29 553.82 0.67
22 45 41.93 83.56 554.64 0.67
22 46 42.13 83.84 555.45 0.67
22 47 42.33 84.12 556.27 0.67
22 48 42.53 84.39 557.09 0.66
22 49 42.73 84.66 557.90 0.66
22 50 42.93 84.94 558.72 0.66
22 51 43.13 85.21 559.54 0.66
22 52 43.33 85.48 560.35 0.66
22 53 43.53 85.75 561.17 0.65
22 54 43.73 86.02 561.99 0.65
22 55 43.93 86.28 562.80 0.65
22 56 44.13 86.55 563.51 0.65
22 57 44.33 86.81 564.17 0.65
22 58 44.53 87.08 564.82 0.65
22 59 44.73 87.34 565.47 0.64
23 00 44.93 87.60 566.12 0.64
23 01 45.13 87.87 566.88 0.64
23 02 45.33 88.13 567.70 0.64
23 03 45.52 88.38 568.51 0.64
23 04 45.72 88.64 569.33 0.63
23 05 45.92 88.90 570.14 0.63
23 06 46.12 89.16 570.85 0.63
23 07 46.32 89.41 571.51 0.63
23 08 46.52 89.66 572.16 0.63
23 09 46.72 89.92 572.81 0.63
23 10 46.92 90.17 573.46 0.62
23 11 47.12 90.42 574.11 0.62
23 12 47.32 90.67 574.76 0.62
23 13 47.52 90.92 575.41 0.62
23 14 47.72 91.17 576.06 0.62
23 15 47.92 91.41 576.71 0.62
23 16 48.11 91.66 577.36 0.61
23 17 48.31 91.90 578.01 0.61
23 18 48.51 92.14 578.66 0.61
23 19 48.71 92.39 579.31 0.61
23 20 48.91 92.63 579.96 0.61
23 21 49.11 92.87 580.52 0.61
23 22 49.31 93.11 581.01 0.60
23 23 49.50 93.35 581.50 0.60
23 24 49.70 93.58 581.98 0.60
23 25 49.90 93.82 582.47 0.60
23 26 50.10 94.05 583.04 0.60
23 27 50.30 94.29 583.68 0.60
23 28 50.50 94.52 584.33 0.59
23 29 50.69 94.75 584.98 0.59
23 30 50.89 94.98 585.63 0.59
23 31 51.09 95.21 586.20 0.59
23 32 51.29 95.44 586.68 0.59
23 33 51.48 95.66 587.17 0.59
23 34 51.68 95.89 587.65 0.59
23 35 51.88 96.12 588.14 0.58
23 36 52.08 96.34 588.62 0.58
23 37 52.27 96.56 589.10 0.58
23 38 52.47 96.78 589.58 0.58
23 39 52.67 97.00 590.07 0.58
23 40 52.86 97.22 590.55 0.58
23 41 53.06 97.44 591.03 0.57
23 42 53.26 97.66 591.51 0.57
23 43 53.45 97.88 592.00 0.57
23 44 53.65 98.09 592.48 0.57
23 45 53.85 98.30 592.96 0.57
23 46 54.04 98.52 593.44 0.57
23 47 54.24 98.73 593.92 0.57
23 48 54.43 98.94 594.40 0.56
23 49 54.63 99.15 594.88 0.56
23 50 54.82 99.36 595.36 0.56
23 51 55.02 99.56 595.83 0.56
23 52 55.21 99.77 596.31 0.56
23 53 55.41 99.98 596.79 0.56
23 54 55.60 100.18 597.27 0.56
23 55 55.80 100.38 597.74 0.55
23 56 55.99 100.58 598.22 0.55
23 57 56.19 100.79 598.54 0.55
23 58 56.38 100.98 598.86 0.55
23 59 56.57 101.18 599.18 0.55
00 00 56.77 101.38 599.49 0.55
00 01 56.96 101.58 599.81 0.55
00 02 57.15 101.77 600.25 0.55
00 03 57.35 101.97 600.73 0.54
00 04 57.54 102.16 601.20 0.54
00 05 57.73 102.35 601.67 0.54
00 06 57.93 102.54 602.14 0.54
00 07 58.12 102.73 602.52 0.54
00 08 58.31 102.92 602.83 0.54
00 09 58.50 103.11 603.14 0.54
00 10 58.69 103.29 603.46 0.53
00 11 58.88 103.48 603.77 0.53
00 12 59.07 103.66 604.14 0.53
00 13 59.27 103.84 604.61 0.53
00 14 59.46 104.03 605.08 0.53
00 15 59.65 104.21 605.54 0.53
00 16 59.84 104.39 606.01 0.53
00 17 60.02 104.57 606.45 0.53
00 18 60.21 104.74 606.76 0.52
00 19 60.40 104.92 607.07 0.52
00 20 60.59 105.09 607.38 0.52
00 21 60.78 105.27 607.69 0.52
00 22 60.97 105.44 607.99 0.52
00 23 61.16 105.61 608.30 0.52
00 24 61.34 105.78 608.61 0.52
00 25 61.53 105.95 608.91 0.52
00 26 61.72 106.12 609.22 0.52
00 27 61.90 106.29 609.52 0.51
00 28 62.09 106.45 609.83 0.51
00 29 62.27 106.62 610.13 0.51
00 30 62.46 106.78 610.43 0.51
00 31 62.64 106.95 610.73 0.51
00 32 62.83 107.11 611.03 0.51
00 33 63.01 107.27 611.33 0.51
00 34 63.20 107.43 611.63 0.51
00 35 63.38 107.59 611.93 0.51
00 36 63.56 107.74 612.23 0.50
00 37 63.74 107.90 612.53 0.50
00 38 63.93 108.06 612.83 0.50
00 39 64.11 108.21 613.04 0.50
00 40 64.29 108.36 613.18 0.50
00 41 64.47 108.52 613.33 0.50
00 42 64.65 108.67 613.48 0.50
00 43 64.83 108.82 613.63 0.50
00 44 65.01 108.96 613.78 0.50
00 45 65.18 109.11 614.07 0.49
00 46 65.36 109.26 614.36 0.49
00 47 65.54 109.40 614.65 0.49
00 48 65.71 109.55 614.93 0.49
00 49 65.89 109.69 615.22 0.49
00 50 66.07 109.83 615.51 0.49
00 51 66.24 109.97 615.79 0.49
00 52 66.41 110.11 616.08 0.49
00 53 66.59 110.25 616.36 0.49
00 54 66.76 110.39 616.64 0.49
00 55 66.93 110.53 616.93 0.49
00 56 67.10 110.66 617.12 0.48
00 57 67.27 110.80 617.26 0.48
00 58 67.44 110.93 617.40 0.48
00 59 67.61 111.06 617.54 0.48
01 00 67.78 111.19 617.67 0.48
01 01 67.95 111.32 617.81 0.48
01 02 68.12 111.45 618.04 0.48
01 03 68.28 111.58 618.31 0.48
01 04 68.45 111.71 618.58 0.48
01 05 68.61 111.83 618.85 0.48
01 06 68.77 111.96 619.12 0.48
01 07 68.94 112.08 619.38 0.47
01 08 69.10 112.21 619.57 0.47
01 09 69.26 112.33 619.70 0.47
01 10 69.42 112.45 619.83 0.47
01 11 69.58 112.57 619.96 0.47
01 12 69.73 112.69 620.09 0.47
01 13 69.89 112.80 620.22 0.47
01 14 70.05 112.92 620.34 0.47
01 15 70.20 113.03 620.47 0.47
01 16 70.35 113.15 620.59 0.47
01 17 70.51 113.26 620.72 0.47
01 18 70.66 113.37 620.84 0.47
01 19 70.81 113.49 620.96 0.47
01 20 70.95 113.60 621.08 0.46
01 21 71.10 113.70 621.29 0.46
01 22 71.25 113.81 621.53 0.46
01 23 71.39 113.92 621.76 0.46
01 24 71.53 114.03 622.00 0.46
01 25 71.68 114.13 622.23 0.46
01 26 71.82 114.23 622.46 0.46
01 27 71.96 114.34 622.68 0.46
01 28 72.09 114.44 622.83 0.46
01 29 72.23 114.54 622.94 0.46
01 30 72.36 114.64 623.05 0.46
01 31 72.49 114.74 623.16 0.46
01 32 72.63 114.84 623.27 0.46
01 33 72.75 114.93 623.37 0.46
01 34 72.88 115.03 623.48 0.45
01 35 73.01 115.12 623.58 0.45
01 36 73.13 115.22 623.68 0.45
01 37 73.25 115.31 623.78 0.45
01 38 73.37 115.40 623.88 0.45
01 39 73.49 115.49 623.98 0.45
01 40 73.61 115.58 624.07 0.45
01 41 73.72 115.67 624.17 0.45
01 42 73.84 115.76 624.26 0.45
01 43 73.95 115.85 624.35 0.45
01 44 74.05 115.93 624.44 0.45
01 45 74.16 116.02 624.52 0.45
01 46 74.26 116.10 624.61 0.45
01 47 74.36 116.18 624.69 0.45
01 48 74.46 116.27 624.77 0.45
01 49 74.56 116.35 624.85 0.45
01 50 74.65 116.43 624.93 0.45
01 51 74.75 116.51 625.00 0.45
01 52 74.83 116.58 625.07 0.44
01 53 74.92 116.66 625.14 0.44
01 54 75.01 116.74 625.21 0.44
01 55 75.09 116.81 625.28 0.44
01 56 75.17 116.89 625.34 0.44
01 57 75.24 116.96 625.41 0.44
01 58 75.31 117.03 625.47 0.44
01 59 75.39 117.10 625.52 0.44
02 00 75.45 117.18 625.58 0.44
02 01 75.52 117.25 625.63 0.44
02 02 75.58 117.31 625.68 0.44
02 03 75.64 117.38 625.73 0.44
02 04 75.69 117.45 625.78 0.44
02 05 75.75 117.51 625.82 0.44
02 06 75.80 117.58 625.86 0.44
02 07 75.84 117.64 625.90 0.44
02 08 75.89 117.71 625.93 0.44
02 09 75.93 117.77 625.97 0.44
02 10 75.96 117.83 626.00 0.44
02 11 76.00 117.89 626.02 0.44
02 12 76.03 117.95 626.05 0.44
02 13 76.06 118.01 626.07 0.44
02 14 76.08 118.07 626.09 0.43
02 15 76.10 118.13 626.11 0.43
02 16 76.12 118.18 626.12 0.43
02 17 76.13 118.24 626.13 0.43
02 18 76.14 118.29 626.14 0.43
02 19 76.15 118.35 626.15 0.43
02 20 76.15 118.40 626.15 0.43
02 21 76.15 118.45 626.15 0.43
02 22 76.15 118.50 626.15 0.43
02 23 76.15 118.55 626.15 0.43
02 24 76.14 118.60 626.14 0.43
02 25 76.12 118.65 626.13 0.43
02 26 76.11 118.70 626.11 0.43
02 27 76.09 118.74 626.10 0.43
02 28 76.07 118.79 626.08 0.43
02 29 76.04 118.84 626.06 0.43
02 30 76.01 118.88 626.03 0.43
02 31 75.98 118.92 626.01 0.43
02 32 75.94 118.97 625.98 0.43
02 33 75.90 119.01 625.95 0.43
02 34 75.86 119.05 625.91 0.43
02 35 75.82 119.09 625.88 0.43
02 36 75.77 119.13 625.84 0.43
02 37 75.72 119.17 625.79 0.43
02 38 75.66 119.21 625.75 0.43
02 39 75.60 119.24 625.70 0.43
02 40 75.54 119.28 625.65 0.43
02 41 75.48 119.32 625.60 0.43
02 42 75.41 119.35 625.55 0.43
02 43 75.34 119.39 625.49 0.43
02 44 75.27 119.42 625.43 0.43
02 45 75.20 119.45 625.37 0.43
02 46 75.12 119.48 625.31 0.43
02 47 75.04 119.51 625.24 0.43
02 48 74.96 119.55 625.17 0.42
02 49 74.87 119.58 625.10 0.42
02 50 74.78 119.60 625.03 0.42
02 51 74.69 119.63 624.96 0.42
02 52 74.60 119.66 624.88 0.42
02 53 74.50 119.69 624.80 0.42
02 54 74.41 119.71 624.72 0.42
02 55 74.31 119.74 624.64 0.42
02 56 74.20 119.76 624.56 0.42
02 57 74.10 119.79 624.47 0.42
02 58 73.99 119.81 624.38 0.42
02 59 73.88 119.83 624.29 0.42
03 00 73.77 119.86 624.20 0.42
03 01 73.66 119.88 624.11 0.42
03 02 73.54 119.90 624.02 0.42
03 03 73.42 119.92 623.92 0.42
03 04 73.30 119.94 623.82 0.42
03 05 73.18 119.96 623.72 0.42
03 06 73.06 119.97 623.62 0.42
03 07 72.93 119.99 623.52 0.42
03 08 72.81 120.01 623.42 0.42
03 09 72.68 120.02 623.31 0.42
03 10 72.55 120.04 623.21 0.42
03 11 72.42 120.05 623.10 0.42
03 12 72.28 120.07 622.99 0.42
03 13 72.15 120.08 622.88 0.42
03 14 72.01 120.09 622.77 0.42
03 15 71.87 120.11 622.55 0.42
03 16 71.73 120.12 622.32 0.42
03 17 71.59 120.13 622.09 0.42
03 18 71.45 120.14 621.86 0.42
03 19 71.31 120.15 621.62 0.42
03 20 71.16 120.16 621.39 0.42
03 21 71.02 120.17 621.15 0.42
03 22 70.87 120.18 621.01 0.42
03 23 70.72 120.19 620.89 0.42
03 24 70.57 120.19 620.77 0.42
03 25 70.42 120.20 620.65 0.42
03 26 70.26 120.20 620.52 0.42
03 27 70.11 120.21 620.40 0.42
03 28 69.96 120.22 620.27 0.42
03 29 69.80 120.22 620.14 0.42
03 30 69.64 120.22 620.01 0.42
03 31 69.48 120.23 619.88 0.42
03 32 69.33 120.23 619.75 0.42
03 33 69.16 120.23 619.62 0.42
03 34 69.00 120.23 619.49 0.42
03 35 68.84 120.24 619.23 0.42
03 36 68.68 120.24 618.96 0.42
03 37 68.52 120.24 618.70 0.42
03 38 68.35 120.24 618.43 0.42
03 39 68.18 120.24 618.16 0.42
03 40 68.02 120.24 617.88 0.42
03 41 67.85 120.23 617.73 0.42
03 42 67.68 120.23 617.59 0.42
03 43 67.51 120.23 617.46 0.42
03 44 67.34 120.23 617.32 0.42
03 45 67.17 120.22 617.18 0.42
03 46 67.00 120.22 617.04 0.42
03 47 66.83 120.22 616.76 0.42
03 48 66.66 120.21 616.48 0.42
03 49 66.49 120.21 616.20 0.42
03 50 66.31 120.20 615.91 0.42
03 51 66.14 120.19 615.63 0.42
03 52 65.96 120.19 615.34 0.42
03 53 65.79 120.18 615.05 0.42
03 54 65.61 120.17 614.77 0.42
03 55 65.43 120.17 614.48 0.42
03 56 65.26 120.16 614.19 0.42
03 57 65.08 120.15 613.90 0.42
03 58 64.90 120.14 613.69 0.42
03 59 64.72 120.13 613.54 0.42
04 00 64.54 120.12 613.39 0.42
04 01 64.36 120.11 613.25 0.42
04 02 64.18 120.10 613.10 0.42
04 03 64.00 120.09 612.95 0.42
04 04 63.82 120.08 612.65 0.42
04 05 63.64 120.07 612.36 0.42
04 06 63.45 120.06 612.06 0.42
04 07 63.27 120.05 611.76 0.42
04 08 63.09 120.04 611.46 0.42
04 09 62.90 120.02 611.16 0.42
04 10 62.72 120.01 610.86 0.42
04 11 62.54 120.00 610.56 0.42
04 12 62.35 119.98 610.25 0.42
04 13 62.17 119.97 609.95 0.42
04 14 61.98 119.96 609.65 0.42
04 15 61.79 119.94 609.34 0.42
04 16 61.61 119.93 609.04 0.42
04 17 61.42 119.91 608.73 0.42
04 18 61.23 119.90 608.43 0.42
04 19 61.05 119.88 608.12 0.42
04 20 60.86 119.87 607.81 0.42
04 21 60.67 119.85 607.51 0.42
04 22 60.48 119.84 607.20 0.42
04 23 60.29 119.82 606.89 0.42
04 24 60.10 119.80 606.58 0.42
04 25 59.91 119.79 606.20 0.42
04 26 59.72 119.77 605.74 0.42
04 27 59.53 119.75 605.27 0.42
04 28 59.34 119.74 604.80 0.42
04 29 59.15 119.72 604.34 0.42
04 30 58.96 119.70 603.90 0.42
